2026-07-31 22:21:32.244 [restartedMain] INFO  com.example.test.TestApplication - No active profile set, falling back to 1 default profile: "default"
2026-07-31 22:21:32.574 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-12 - Starting...
2026-07-31 22:21:32.600 [restartedMain] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-12 - Added connection org.postgresql.jdbc.PgConnection@7ccaff6e
2026-07-31 22:21:32.600 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-12 - Start completed.
2026-07-31 22:21:33.191 [restartedMain] INFO  com.example.test.TestApplication - Started TestApplication in 0.982 seconds (process running for 1755.417)
2026-07-31 22:22:33.931 [http-nio-8080-exec-2] INFO  c.e.t.c.UserOrganizationController - Setting organizationId with user's organization id: 1
2026-07-31 22:22:33.952 [http-nio-8080-exec-2] INFO  c.e.t.m.s.i.UserOrganizationServiceImpl - Creating new user entity to database for full name: Nguyen Van w
2026-07-31 22:23:16.873 [http-nio-8080-exec-3] INFO  c.e.t.c.UserOrganizationController - Deleted user with ID: 18 in org: 1
2026-07-31 22:23:16.874 [http-nio-8080-exec-3] INFO  c.e.t.m.s.i.UserOrganizationServiceImpl - Deleting user record with ID: 18 in organization ID: 1
2026-07-31 22:23:22.822 [http-nio-8080-exec-4] INFO  c.e.t.c.UserOrganizationController - Deleted user with ID: 19 in org: 1
2026-07-31 22:23:22.822 [http-nio-8080-exec-4] INFO  c.e.t.m.s.i.UserOrganizationServiceImpl - Deleting user record with ID: 19 in organization ID: 1
